"","name","phone","addr","loc","link"
"110","Staybridge Suites Hot Springs","(501) 651-0513","103 Lookout Cir","Hot Springs National Park, AR 71913","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=hotsb&_PMID=99601036&cm_mmc=ypm"
"112","Staybridge Suites Fayetteville/Univ of Arkansas","(479) 396-4538","1577 W 15th St","Fayetteville, AR 72701","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=fyvar&_PMID=99601036&cm_mmc=ypm"
"114","Sands Central Inn","(501) 624-1258","1525 Central Ave","Hot Springs National Park, AR 71901",NA
"117","Royal Inn","(870) 762-1136","1214 S Division St","Blytheville, AR 72315",NA
"118","Staybridge Suites Bentonville - Rogers","(479) 391-4160","1801 S 52nd St","Rogers, AR 72758","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=rggar&_PMID=99601036&cm_mmc=ypm"
"128","Sands Motel","(870) 228-9186","1086 W Highway 49","West Helena, AR 72390",NA
"131","Candlewood Suites Jonesboro","(870) 477-9480","2906 Kazi St","Jonesboro, AR 72401","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=jbrpd&_PMID=99601036&cm_mmc=ypm"
"141","Budget Motel","(650) 966-5956","1028 W El Camino Real","Mountain View, CA 94040","http://www.budgetmotelmv.net"
"143","Terrace Inn & Suites","(510) 730-7340","10869 San Pablo Ave","El Cerrito, CA 94530","http://www.terraceinnselcerrito.com"
"144","Rivera Inn & Suites Motel","(562) 268-2991","9118 Slauson Ave","Pico Rivera, CA 90660","http://www.magnusonhotels.com/Rivera-Motel"
"145","Ana Mesa Inn","(714) 426-9570","3597 Harbor Blvd","Costa Mesa, CA 92626","https://www.yellowpages.com/costa-mesa-ca/mip/ana-mesa-inn-538206111?lid=1002004678281"
"146","Terrace Inns & Suites","(510) 255-6755","10869 San Pablo Ave","El Cerrito, CA 94530","http://www.terraceinnselcerrito.com"
"147","Lincoln Inn","(310) 803-9063","2447 Lincoln Blvd","Venice, CA 90291","https://www.yellowpages.com/venice-ca/mip/lincoln-inn-723160"
"148","Roadway Inn","(530) 342-9472","1717 Park Ave","Chico, CA 95928","http://www.rodewayinnchico.com"
"149","BW Park Crest","(831) 372-4576","1100 Munras Ave","Monterey, CA 93940","http://www.bestwestern.com/content/best-western/en_US/booking-path/hotel-details.05067.html?propertyCode=05067"
"150","Crowne Plaza Ventura Beach","(805) 626-7634","450 Harbor Blvd","Ventura, CA 93001","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=vntca&_PMID=99601036&cm_mmc=ypm"
"151","Chardonnay  Lodge","(707) 255-4891","2640 Jefferson St","Napa, CA 94558","http://www.chardonnaylodge.net"
"153","Crowne Plaza San Francisco Airport","(650) 523-0152","1177 Airport Blvd","Burlingame, CA 94010","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=urlca&_PMID=99601036&cm_mmc=ypm"
"155","Staybridge Suites Palmdale","(661) 485-3124","420 W Park Dr","Palmdale, CA 93551","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=pdlfs&_PMID=99601036&cm_mmc=ypm"
"156","Beachwood Motel","(760) 722-3866","210 Surfrider Way","Oceanside, CA 92054",NA
"157","Crowne Plaza Palo Alto","(650) 815-7941","4290 El Camino Real","Palo Alto, CA 94306","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=sfoca&_PMID=99601036&cm_mmc=ypm"
"160","InterContinental San Francisco","(415) 549-4123","888 Howard St","San Francisco, CA 94103","https://www.intercontinental.com/redirect?path=hd&brandCode=ic&hotelCode=sfohb&_PMID=99601036&cm_mmc=ypm"
"161","Lodge  House Inn The","(559) 707-4181","801 E San Joaquin","Avenal, CA 93204",NA
"162","Inns Of California","(831) 424-1741","1215 De La Torre St","Salinas, CA 93905","http://www.innsofcal.com/salinas.htm"
"163","Americas Best Value Inn & Suites","(408) 827-1077","485 S Main St","Milpitas, CA 95035","http://www.abvisanjose.com"
"164","Staybridge Suites Rocklin - Roseville Area","(916) 839-3880","6664 Lonetree Blvd","Rocklin, CA 95765","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=sacsb&_PMID=99601036&cm_mmc=ypm"
"165","Crowne Plaza San Diego - Mission Valley","(858) 727-3461","2270 Hotel Cir N","San Diego, CA 92108","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=sancp&_PMID=99601036&cm_mmc=ypm"
"166","Rodeway Inn & Suites","(844) 701-6600","71809 29 Palms Hwy","Twentynine Palms, CA 92277","https://www.hiexpress.com/redirect?path=hd&brandCode=ex&hotelCode=tnpma&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-dexess-_-ex-_-TNPMA&glat=MEDI"
"167","InterContinental The Clement Monterey","(831) 574-2463","750 Cannery Row","Monterey, CA 93940","https://www.intercontinental.com/redirect?path=hd&brandCode=ic&hotelCode=mryha&_PMID=99601036&cm_mmc=ypm"
"168","InterContinental Mark Hopkins San Francisco","(628) 900-5957","999 California St","San Francisco, CA 94108","https://www.intercontinental.com/redirect?path=hd&brandCode=ic&hotelCode=sfoha&_PMID=99601036&cm_mmc=ypm"
"175","Staybridge Suites Denver Tech Center","(720) 850-8278","7150 S Clinton St","Englewood, CO 80112","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=denct&_PMID=99601036&cm_mmc=ypm"
"176","Staybridge Suites Denver International Airport","(720) 615-4232","6951 Tower Rd","Denver, CO 80249","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=densb&_PMID=99601036&cm_mmc=ypm"
"178","Silver Spruce Inn","(970) 456-1697","162 W 6th St","Glenwood Springs, CO 81601","http://www.reservations.com/hotel/silver-spruce-motel?gclid=CNXj9tzZoM8CFdgJgQodgyILzA"
"180","MoJo's Inn","(970) 345-6656","625 E 1st St","Akron, CO 80720","http://mojosinn.com"
"181","Rodeway Inn-Glenwood Springs","(970) 989-2131","52039 Hwy 6","Glenwood Springs, CO 81601","http://www.rodewayinn.com/hotel/co213"
"182","Candlewood Suites Parachute","(970) 414-1039","233 Grand Valley Way","Parachute, CO 81635","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=prhco&_PMID=99601036&cm_mmc=ypm"
"184","Staybridge Suites Colorado Springs North","(719) 402-3970","7130 Commerce Center Dr","Colorado Springs, CO 80919","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=cosaf&_PMID=99601036&cm_mmc=ypm"
"185","Staybridge Suites Denver-Cherry Creek","(720) 823-4967","4220 E Virginia Ave","Denver, CO 80246","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=dench&_PMID=99601036&cm_mmc=ypm"
"187","Crowne Plaza Denver Airport Convention Ctr","(720) 295-5897","15500 E 40th Ave","Denver, CO 80239","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=denau&_PMID=99601036&cm_mmc=ypm"
"188","Staybridge Suites Denver - Central Park","(720) 739-4366","8101 E Northfield Blvd","Denver, CO 80238","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=denqs&_PMID=99601036&cm_mmc=ypm"
"190","Staybridge Suites Denver Downtown","(720) 902-8830","333 W Colfax Ave","Denver, CO 80204","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=denca&_PMID=99601036&cm_mmc=ypm"
"192","Hotel Indigo Denver Downtown","(720) 850-8028","1801 Wewatta St","Denver, CO 80202","https://www.hotelindigo.com/redirect?path=hd&brandCode=in&hotelCode=denws&_PMID=99601036&cm_mmc=ypm"
"193","Staybridge Suites Denver South - Highlands Ranch","(720) 823-5540","8211 Southpark Cir","Littleton, CO 80120","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=denll&_PMID=99601036&cm_mmc=ypm"
"194","Candlewood Suites Longmont","(720) 713-3221","1340 Dry Creek Dr","Longmont, CO 80503","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=qwmcw&_PMID=99601036&cm_mmc=ypm"
"196","Candlewood Suites Grand Junction Nw","(970) 609-3652","654 Market St","Grand Junction, CO 81505","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=gjtcw&_PMID=99601036&cm_mmc=ypm"
"197","Apex Mountain Management","(970) 731-1318","6383 North Pagosa Boulevard","Pagosa Springs, CO 81147","http://www.apexmountainmanagement.com"
"198","avid hotels Denver Airport Area","(720) 897-6624","6785 N Argonne St","Denver, CO 80249","https://www.avidhotels.com/redirect?path=hd&brandCode=va&hotelCode=denav&_PMID=99601036&cm_mmc=ypm"
"199","EVEN Hotel Denver Tech Center-Englewood","(720) 912-5888","7380 S Clinton St","Englewood, CO 80112","https://www.evenhotels.com/redirect?path=hd&brandCode=vn&hotelCode=denew&_PMID=99601036&cm_mmc=ypm"
"200","Staybridge Suites Denver North - Thornton","(720) 738-4598","13719 Lincoln St","Thornton, CO 80023","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=dentt&_PMID=99601036&cm_mmc=ypm"
"202","Hotel Indigo Silverthorne","(970) 486-2025","375 Blue River Pkwy","Silverthorne, CO 80498","https://www.hotelindigo.com/redirect?path=hd&brandCode=in&hotelCode=densv&_PMID=99601036&cm_mmc=ypm"
"210","EVEN Hotels Norwalk","(475) 755-6132","426 Main Avenue Route 7","Norwalk, CT 06851","https://www.evenhotels.com/redirect?path=hd&brandCode=vn&hotelCode=orqev&_PMID=99601036&cm_mmc=ypm"
"211","Candlewood Suites Windsor Locks Bradley Arpt","(959) 223-2201","149 Ella Grasso Tpke","Windsor Locks, CT 06096","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=bdlwl&_PMID=99601036&cm_mmc=ypm"
"220","Siesta Motel","(860) 924-7531","2089 Berlin Tpke","Newington, CT 06111","http://213hospitality.com"
"224","USA Motel","(860) 956-5587","2611 Berlin Tpke","Newington, CT 06111",NA
"225","Windsor Towne House","(860) 688-6261","19 Maple Ave","Windsor, CT 06095",NA
"227","Almar Motel","(860) 529-8296","35 Arrow Rd","Wethersfield, CT 06109",NA
"228","Fifth Ave Motel","(860) 785-6958","1695 Berlin Tpke","Wethersfield, CT 06109","http://www.213hospitality.com"
"229","Super Eight Motel-Old Saybrook","(860) 399-6273","37 Spencer Plain Rd","Old Saybrook, CT 06475","http://www.super8.com/Super8/control/Booking/property_info?propertyId=02031&brandInfo=SE"
"230","Quality Inn Old Saybrook - Westbrook","(860) 395-1414","100 Essex Rd","Old Saybrook, CT 06475","http://www.qualityinn.com"
"231","Days Inn","(860) 623-9417","185 Ella Grasso Tpke","Windsor Locks, CT 06096","https://www.wyndhamhotels.com/days-inn/windsor-locks-connecticut/days-inn-windsor-locks-bradley-international-airport/overview"
"232","Breakers","(203) 268-5595","75 Aspen Ln","Trumbull, CT 06611","http://www.thebreakers.com"
"233","Red Carpet Inn","(860) 350-2766","244 Kent Rd","New Milford, CT 06776",NA
"234","Windsor Motel","(860) 333-6486","345 Gold Star Hwy","Groton, CT 06340","http://www.magnusonhotels.com/Hotel-Details.cfm?pcode=M20033"
"235","Thames Inn & Marina","(860) 445-8111","193 Thames St","Groton, CT 06340","http://thamesinn.net"
"236","Executive Room Service","(203) 674-1695","780 Post Rd","Darien, CT 06820","http://execroom.com"
"243","Axia Management","(302) 674-2200","222 S Dupont Hwy","Dover, DE 19901",NA
"244","Staybridge Suites Wilmington-Newark","(302) 273-1685","270 Chapman Rd","Newark, DE 19702","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=ilgsb&_PMID=99601036&cm_mmc=ypm"
"245","avid hotels Millsboro - Georgetown South","(302) 316-0631","30266 Commerce Dr","Millsboro, DE 19966","https://www.avidhotels.com/redirect?path=hd&brandCode=va&hotelCode=sbyav&_PMID=99601036&cm_mmc=ypm"
"246","Candlewood Suites Newark South - University Area","(302) 729-2833","1101 S College Ave","Newark, DE 19713","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=ilgcw&_PMID=99601036&cm_mmc=ypm"
"247","Staybridge Suites Wilmington Downtown","(302) 250-4279","1220 N Market St","Wilmington, DE 19801","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=ilgst&_PMID=99601036&cm_mmc=ypm"
"248","Wilgus Associates Inc","(302) 539-7511","32904 Coastal Hwy","Bethany Beach, DE 19930","http://www.wilgusassociates.com"
"252","Boardwalk Plaza Hotel","(302) 727-0187","2 Olive Ave","Rehoboth Beach, DE 19971","http://www.victoriasrestaurant.com"
"254","Berkshire Hathaway HomeServices Gallo Realty","(302) 227-6101","37230 Rehoboth Avenue Ext","Rehoboth Beach, DE 19971","http://www.gotogallo.com"
"255","Sleep Inn & Suites Rehoboth Beach","(302) 251-8540","18451 Coastal Hwy","Lewes, DE 19958","https://www.choicehotels.com/delaware/lewes/sleep-inn-hotels/de021/rates?source=yext"
"258","Jetset Travel an American Express Travel Representative","(302) 678-5050","222 S Dupont Hwy Ste 102","Dover, DE 19901","http://www.jetsettravel.biz"
"259","Crown Motel","(302) 328-7377","152 N Dupont Hwy","New Castle, DE 19720",NA
"260","Concord Towers Inc","(302) 456-5842","1201 Christiana Rd","Newark, DE 19713",NA
"261","Hotel Rehoboth","(302) 227-4300","247 Rehoboth Ave","Rehoboth Beach, DE 19971","https://www.hotelrehoboth.com"
"262","Travelodge","(302) 654-5544","1213 West Ave","New Castle, DE 19720","http://www.travelodge.com"
"263","Days Inn & Suites by Wyndham Seaford","(302) 629-4300","23450 Sussex Hwy","Seaford, DE 19973","https://www.wyndhamhotels.com/days-inn/seaford-delaware/days-inn-and-suites-seaford/overview"
"264","Dover Downs Hotel & Conference","(302) 857-2140","1131 N Dupont Hwy","Dover, DE 19901","http://doverdowns.com"
"265","Adams Ocean Front Resort","(302) 227-3030","4 Read Ave","Dewey Beach, DE 19971","http://adamsoceanfront.com"
"266","Inn at Canal Square","(302) 644-3377","122 W Market St","Lewes, DE 19958","http://www.theinnatcanalsquare.com"
"268","Marriott Execustay","(302) 397-8323","902 N Market St Apt 1127","Wilmington, DE 19801",NA
"269","Summer Place Hotel","(302) 226-0766","30 Olive Ave","Rehoboth Beach, DE 19971","http://www.rehobothsummerplace.com"
"270","Red Mill Inn","(302) 645-9736","150 1st St","Lewes, DE 19958","http://www.redmillinn.com"
"277","Civic Inn-North","(850) 478-4663","8500 University Pkwy","Pensacola, FL 32514","http://sales.yellowpages.com/pensacola-fl/mip/civic-inn-3295160"
"278","Sunset Motel","(352) 796-3494","301 S Broad St","Brooksville, FL 34601","http://www.sunsetmotel.com"
"279","Queens Lodge Motel - Apartments","(561) 209-1436","3712 Broadway","West Palm Beach, FL 33407",NA
"280","Days Inn Lake City North","(386) 758-4224","3430 N Us Highway 441","Lake City, FL 32055",NA
"281","Howard Johnson Inn","(772) 617-6586","1725 US Highway 1","Vero Beach, FL 32960","http://www.hojovb.com"
"282","Crowne Plaza Fort Myers At Bell Tower Shops","(844) 299-9488","13051 Bell Tower Dr","Fort Myers, FL 33907","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=fmyso&_PMID=99601036&setPMCookies=true&cm_mmc=mdpr-_-dexess-_-cp-_-FMYSO&glat=MEDI"
"283","InterContinental At Doral Miami","(786) 206-3318","2505 NW 87th Ave","Doral, FL 33172","https://www.intercontinental.com/redirect?path=hd&brandCode=ic&hotelCode=miahc&_PMID=99601036&cm_mmc=ypm"
"284","Discount Divers Bed and Breakfast","(305) 743-6054","10800 Overseas Hwy","Marathon, FL 33050","http://www.discountdiversbandb.com"
"285","Renaissance At The Gables","(305) 445-1313","2340 SW 32nd Ave","Miami, FL 33145","http://www.renaissanceatthegables.com"
"286","Staybridge Suites Naples-Gulf Coast","(239) 799-7589","4805 Tamiami Trl N","Naples, FL 34103","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=apftt&_PMID=99601036&cm_mmc=ypm"
"287","El Patio Motel","(561) 844-1307","3911 Broadway","West Palm Beach, FL 33407","https://www.fivestars.com"
"288","Crowne Plaza Ft. Lauderdale Airport/Cruise","(754) 764-2610","455 SE 24th St","Fort Lauderdale, FL 33316","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=fllhi&_PMID=99601036&cm_mmc=ypm"
"290","Action Keys Realty of the Florida Keys","(305) 745-1323","24814 US. highway 1, #5","Summerland Key, FL 33042","http://actionkeysrealty.com"
"292","Crowne Plaza Jacksonville Airport/I-95N","(904) 902-7002","14670 Duval Rd","Jacksonville, FL 32218","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=jaxap&_PMID=99601036&cm_mmc=ypm"
"293","Staybridge Suites Tampa East- Brandon","(813) 723-7819","3624 N Falkenburg Rd","Tampa, FL 33619","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=tpasb&_PMID=99601036&cm_mmc=ypm"
"294","Staybridge Suites Tallahassee I-10 East","(448) 200-0510","1600 Summit Lake Dr","Tallahassee, FL 32317","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=tlhsb&_PMID=99601036&cm_mmc=ypm"
"295","Staybridge Suites Miami Doral Area","(786) 522-1621","3265 NW 87th Ave","Doral, FL 33172","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=miaaw&_PMID=99601036&cm_mmc=ypm"
"296","Staybridge Suites Orlando Royale Parc Suites","(800) 584-5519","5876 W Irlo Bronson Memorial Hwy","Kissimmee, FL 34746","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=ismir&_PMID=99601036&cm_mmc=ypm"
"297","Crowne Plaza Orlando-Downtown","(689) 220-6359","304 W Colonial Dr","Orlando, FL 32801","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=mcooa&_PMID=99601036&cm_mmc=ypm"
"300","Candlewood Suites Lake Mary","(689) 227-7920","1130 Greenwood Blvd","Lake Mary, FL 32746","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=mcolm&_PMID=99601036&cm_mmc=ypm"
"301","Crowne Plaza Key West-La Concha","(786) 808-7703","430 Duval St","Key West, FL 33040","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=eywlc&_PMID=99601036&cm_mmc=ypm"
"302","Crowne Plaza Orlando - Universal Blvd","(689) 348-7533","7800 Universal Blvd","Orlando, FL 32819","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=mcouv&_PMID=99601036&cm_mmc=ypm"
"311","TownePlace Suites by Marriott Columbus","(706) 223-1778","4534 Armour Road","Columbus, GA 31904","https://www.marriott.com/hotels/travel/csgts-towneplace-suites-columbus/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe"
"312","Fairfield Inn & Suites Columbus","(706) 748-8353","4510 Armour Road","Columbus, GA 31904","http://www.marriott.com/hotels/travel/csgfi-fairfield-inn-and-suites-columbus"
"313","SpringHill Suites Columbus","(706) 940-3839","5415 Whttlesey Blvd","Columbus, GA 31909","https://www.marriott.com/hotels/travel/csgsh-springhill-suites-columbus"
